"";"2001"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_MES_IN"
"14";"UTI_MES_AN"
"15";"UTI_MES_AL"
"16";"UTI_MES_TO"
"17";"MARCA_UTI"
"18";"UTI_INT_IN"
"19";"UTI_INT_AN"
"20";"UTI_INT_AL"
"21";"UTI_INT_TO"
"22";"PROC_REA"
"23";"VAL_SH"
"24";"VAL_SP"
"25";"VAL_SADT"
"26";"VAL_RN"
"27";"VAL_ORTP"
"28";"VAL_SANGUE"
"29";"VAL_SADTSR"
"30";"VAL_TRANSP"
"31";"VAL_OBSANG"
"32";"VAL_PED1AC"
"33";"VAL_TOT"
"34";"VAL_UTI"
"35";"US_TOT"
"36";"DT_INTER"
"37";"DT_SAIDA"
"38";"DIAG_PRINC"
"39";"DIAG_SECUN"
"40";"COBRANCA"
"41";"NATUREZA"
"42";"GESTAO"
"43";"MUNIC_MOV"
"44";"COD_IDADE"
"45";"IDADE"
"46";"DIAS_PERM"
"47";"MORTE"
"48";"NACIONAL"
"49";"NUM_PROC"
"50";"CAR_INT"
"51";"TOT_PT_SP"
"52";"CPF_AUT"
"53";"HOMONIMO"
"54";"NUM_FILHOS"
"55";"INSTRU"
"56";"CID_NOTIF"
"57";"CONTRACEP1"
"58";"CONTRACEP2"
"59";"GESTRISCO"
"60";"INSC_PN"
"61";"SEQ_AIH5"
