"";"2020"
"1";"UF_ZI"
"2";"ANO_CMPT"
"3";"MES_CMPT"
"4";"ESPEC"
"5";"CGC_HOSP"
"6";"N_AIH"
"7";"IDENT"
"8";"CEP"
"9";"MUNIC_RES"
"10";"NASC"
"11";"SEXO"
"12";"UTI_MES_IN"
"13";"UTI_MES_AN"
"14";"UTI_MES_AL"
"15";"UTI_MES_TO"
"16";"MARCA_UTI"
"17";"UTI_INT_IN"
"18";"UTI_INT_AN"
"19";"UTI_INT_AL"
"20";"UTI_INT_TO"
"21";"DIAR_ACOM"
"22";"QT_DIARIAS"
"23";"PROC_SOLIC"
"24";"PROC_REA"
"25";"VAL_SH"
"26";"VAL_SP"
"27";"VAL_SADT"
"28";"VAL_RN"
"29";"VAL_ACOMP"
"30";"VAL_ORTP"
"31";"VAL_SANGUE"
"32";"VAL_SADTSR"
"33";"VAL_TRANSP"
"34";"VAL_OBSANG"
"35";"VAL_PED1AC"
"36";"VAL_TOT"
"37";"VAL_UTI"
"38";"US_TOT"
"39";"DT_INTER"
"40";"DT_SAIDA"
"41";"DIAG_PRINC"
"42";"DIAG_SECUN"
"43";"COBRANCA"
"44";"NATUREZA"
"45";"NAT_JUR"
"46";"GESTAO"
"47";"RUBRICA"
"48";"IND_VDRL"
"49";"MUNIC_MOV"
"50";"COD_IDADE"
"51";"IDADE"
"52";"DIAS_PERM"
"53";"MORTE"
"54";"NACIONAL"
"55";"NUM_PROC"
"56";"CAR_INT"
"57";"TOT_PT_SP"
"58";"CPF_AUT"
"59";"HOMONIMO"
"60";"NUM_FILHOS"
"61";"INSTRU"
"62";"CID_NOTIF"
"63";"CONTRACEP1"
"64";"CONTRACEP2"
"65";"GESTRISCO"
"66";"INSC_PN"
"67";"SEQ_AIH5"
"68";"CBOR"
"69";"CNAER"
"70";"VINCPREV"
"71";"GESTOR_COD"
"72";"GESTOR_TP"
"73";"GESTOR_CPF"
"74";"GESTOR_DT"
"75";"CNES"
"76";"CNPJ_MANT"
"77";"INFEHOSP"
"78";"CID_ASSO"
"79";"CID_MORTE"
"80";"COMPLEX"
"81";"FINANC"
"82";"FAEC_TP"
"83";"REGCT"
"84";"RACA_COR"
"85";"ETNIA"
"86";"SEQUENCIA"
"87";"REMESSA"
"88";"AUD_JUST"
"89";"SIS_JUST"
"90";"VAL_SH_FED"
"91";"VAL_SP_FED"
"92";"VAL_SH_GES"
"93";"VAL_SP_GES"
"94";"VAL_UCI"
"95";"MARCA_UCI"
"96";"DIAGSEC1"
"97";"DIAGSEC2"
"98";"DIAGSEC3"
"99";"DIAGSEC4"
"100";"DIAGSEC5"
"101";"DIAGSEC6"
"102";"DIAGSEC7"
"103";"DIAGSEC8"
"104";"DIAGSEC9"
"105";"TPDISEC1"
"106";"TPDISEC2"
"107";"TPDISEC3"
"108";"TPDISEC4"
"109";"TPDISEC5"
"110";"TPDISEC6"
"111";"TPDISEC7"
"112";"TPDISEC8"
"113";"TPDISEC9"
