"";"2016"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_MES_IN"
"14";"UTI_MES_AN"
"15";"UTI_MES_AL"
"16";"UTI_MES_TO"
"17";"MARCA_UTI"
"18";"UTI_INT_IN"
"19";"UTI_INT_AN"
"20";"UTI_INT_AL"
"21";"UTI_INT_TO"
"22";"DIAR_ACOM"
"23";"QT_DIARIAS"
"24";"PROC_SOLIC"
"25";"PROC_REA"
"26";"VAL_SH"
"27";"VAL_SP"
"28";"VAL_SADT"
"29";"VAL_RN"
"30";"VAL_ACOMP"
"31";"VAL_ORTP"
"32";"VAL_SANGUE"
"33";"VAL_SADTSR"
"34";"VAL_TRANSP"
"35";"VAL_OBSANG"
"36";"VAL_PED1AC"
"37";"VAL_TOT"
"38";"VAL_UTI"
"39";"US_TOT"
"40";"DT_INTER"
"41";"DT_SAIDA"
"42";"DIAG_PRINC"
"43";"DIAG_SECUN"
"44";"COBRANCA"
"45";"NATUREZA"
"46";"NAT_JUR"
"47";"GESTAO"
"48";"RUBRICA"
"49";"IND_VDRL"
"50";"MUNIC_MOV"
"51";"COD_IDADE"
"52";"IDADE"
"53";"DIAS_PERM"
"54";"MORTE"
"55";"NACIONAL"
"56";"NUM_PROC"
"57";"CAR_INT"
"58";"TOT_PT_SP"
"59";"CPF_AUT"
"60";"HOMONIMO"
"61";"NUM_FILHOS"
"62";"INSTRU"
"63";"CID_NOTIF"
"64";"CONTRACEP1"
"65";"CONTRACEP2"
"66";"GESTRISCO"
"67";"INSC_PN"
"68";"SEQ_AIH5"
"69";"CBOR"
"70";"CNAER"
"71";"VINCPREV"
"72";"GESTOR_COD"
"73";"GESTOR_TP"
"74";"GESTOR_CPF"
"75";"GESTOR_DT"
"76";"CNES"
"77";"CNPJ_MANT"
"78";"INFEHOSP"
"79";"CID_ASSO"
"80";"CID_MORTE"
"81";"COMPLEX"
"82";"FINANC"
"83";"FAEC_TP"
"84";"REGCT"
"85";"RACA_COR"
"86";"ETNIA"
"87";"SEQUENCIA"
"88";"REMESSA"
"89";"AUD_JUST"
"90";"SIS_JUST"
"91";"VAL_SH_FED"
"92";"VAL_SP_FED"
"93";"VAL_SH_GES"
"94";"VAL_SP_GES"
"95";"VAL_UCI"
"96";"MARCA_UCI"
"97";"DIAGSEC1"
"98";"DIAGSEC2"
"99";"DIAGSEC3"
"100";"DIAGSEC4"
"101";"DIAGSEC5"
"102";"DIAGSEC6"
"103";"DIAGSEC7"
"104";"DIAGSEC8"
"105";"DIAGSEC9"
"106";"TPDISEC1"
"107";"TPDISEC2"
"108";"TPDISEC3"
"109";"TPDISEC4"
"110";"TPDISEC5"
"111";"TPDISEC6"
"112";"TPDISEC7"
"113";"TPDISEC8"
"114";"TPDISEC9"
