"";"2007"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_MES_IN"
"14";"UTI_MES_AN"
"15";"UTI_MES_AL"
"16";"UTI_MES_TO"
"17";"MARCA_UTI"
"18";"UTI_INT_IN"
"19";"UTI_INT_AN"
"20";"UTI_INT_AL"
"21";"UTI_INT_TO"
"22";"DIAR_ACOM"
"23";"PROC_SOLIC"
"24";"PROC_REA"
"25";"VAL_SH"
"26";"VAL_SP"
"27";"VAL_SADT"
"28";"VAL_RN"
"29";"VAL_ACOMP"
"30";"VAL_ORTP"
"31";"VAL_SANGUE"
"32";"VAL_SADTSR"
"33";"VAL_TRANSP"
"34";"VAL_OBSANG"
"35";"VAL_PED1AC"
"36";"VAL_TOT"
"37";"VAL_UTI"
"38";"US_TOT"
"39";"DT_INTER"
"40";"DT_SAIDA"
"41";"DIAG_PRINC"
"42";"DIAG_SECUN"
"43";"COBRANCA"
"44";"NATUREZA"
"45";"GESTAO"
"46";"RUBRICA"
"47";"IND_VDRL"
"48";"MUNIC_MOV"
"49";"COD_IDADE"
"50";"IDADE"
"51";"DIAS_PERM"
"52";"MORTE"
"53";"NACIONAL"
"54";"NUM_PROC"
"55";"CAR_INT"
"56";"TOT_PT_SP"
"57";"CPF_AUT"
"58";"HOMONIMO"
"59";"NUM_FILHOS"
"60";"INSTRU"
"61";"CID_NOTIF"
"62";"CONTRACEP1"
"63";"CONTRACEP2"
"64";"GESTRISCO"
"65";"INSC_PN"
"66";"SEQ_AIH5"
"67";"CBOR"
"68";"CNAER"
"69";"VINCPREV"
"70";"GESTOR_COD"
"71";"GESTOR_CPF"
"72";"GESTOR_DT"
"73";"CNES"
"74";"INFEHOSP"
"75";"CID_ASSO"
"76";"CID_MORTE"
