"";"1994"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_TOTAL"
"14";"PROC_REA"
"15";"VAL_SH"
"16";"VAL_SP"
"17";"VAL_SADT"
"18";"VAL_RN"
"19";"VAL_ORTP"
"20";"VAL_SANGUE"
"21";"VAL_TOT"
"22";"US_SH"
"23";"US_SP"
"24";"US_SADT"
"25";"US_RN"
"26";"US_ORTP"
"27";"US_SANGUE"
"28";"US_TOT"
"29";"DT_INTER"
"30";"DT_SAIDA"
"31";"DIAG_PRINC"
"32";"COBRANCA"
"33";"NATUREZA"
"34";"MUNIC_MOV"
"35";"COD_IDADE"
"36";"IDADE"
"37";"DIAS_PERM"
"38";"MORTE"
"39";"COD_ARQ"
"40";"CONT"
