"";"2006"
"1";"X"
"2";"UF_ZI"
"3";"ANO_CMPT"
"4";"MES_CMPT"
"5";"ESPEC"
"6";"CGC_HOSP"
"7";"N_AIH"
"8";"IDENT"
"9";"CEP"
"10";"MUNIC_RES"
"11";"NASC"
"12";"SEXO"
"13";"UTI_MES_IN"
"14";"UTI_MES_AN"
"15";"UTI_MES_AL"
"16";"UTI_MES_TO"
"17";"MARCA_UTI"
"18";"UTI_INT_IN"
"19";"UTI_INT_AN"
"20";"UTI_INT_AL"
"21";"UTI_INT_TO"
"22";"DIAR_ACOM"
"23";"PROC_REA"
"24";"VAL_SH"
"25";"VAL_SP"
"26";"VAL_SADT"
"27";"VAL_RN"
"28";"VAL_ACOMP"
"29";"VAL_ORTP"
"30";"VAL_SANGUE"
"31";"VAL_SADTSR"
"32";"VAL_TRANSP"
"33";"VAL_OBSANG"
"34";"VAL_PED1AC"
"35";"VAL_TOT"
"36";"VAL_UTI"
"37";"US_TOT"
"38";"DT_INTER"
"39";"DT_SAIDA"
"40";"DIAG_PRINC"
"41";"DIAG_SECUN"
"42";"COBRANCA"
"43";"NATUREZA"
"44";"GESTAO"
"45";"IND_VDRL"
"46";"MUNIC_MOV"
"47";"COD_IDADE"
"48";"IDADE"
"49";"DIAS_PERM"
"50";"MORTE"
"51";"COD_ARQ"
"52";"CONT"
"53";"NACIONAL"
"54";"NUM_PROC"
"55";"CAR_INT"
"56";"TOT_PT_SP"
"57";"CPF_AUT"
"58";"HOMONIMO"
"59";"NUM_FILHOS"
"60";"INSTRU"
"61";"CID_NOTIF"
"62";"CONTRACEP1"
"63";"CONTRACEP2"
"64";"GESTRISCO"
"65";"INSC_PN"
"66";"SEQ_AIH5"
"67";"GESTOR_CPF"
"68";"GESTOR_DT"
"69";"GESTOR_COD"
"70";"CNES"
"71";"COD_SEG"
"72";"PROC_SOLIC"
"73";"RUBRICA"
"74";"CBOR"
"75";"CNAER"
"76";"VINCPREV"
"77";"INFEHOSP"
"78";"CID_ASSO"
"79";"CID_MORTE"
