"Localidade (Cod)","Localidade","Função (Cod/Desc)","Subfunção (Cod/Desc)","Despesa Executada (Favorecido)","Despesa Executada (Subelemento)"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","4536736451,48","4536736451,48"
"9000000","NACIONAL","10 - SAÚDE","572 - DESENVOLVIMENTO TECNOLÓGICO E ENGENHARIA","30337353,54","30337353,54"
"1703206","BERNARDO SAYÃO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","1998000","1998000"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","65465006,95","65465006,95"
"3143906","MURIAÉ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","2700000","2700000"
"2601706","BELO JARDIM","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"9000000","NACIONAL","10 - SAÚDE","131 - COMUNICAÇÃO SOCIAL","103726160,7","103726160,7"
"4106902","CURITIBA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","945000","945000"
"3304508","RIO DAS FLORES","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","195000","195000"
"1508159","URUARÁ","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2400000","RIO GRANDE DO NORTE (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","19558091,11","19558091,11"
"2310506","PEDRA BRANCA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2608750","LAGOA GRANDE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","144000","144000"
"2504009","CAMPINA GRANDE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3100000","MINAS GERAIS (ESTADO)","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","100000","100000"
"2608909","LIMOEIRO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2200251","ALAGOINHA DO PIAUÍ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2900000","BAHIA (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1221043275,51","1221043275,51"
"3302007","ITAGUAÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1200435","SANTA ROSA DO PURUS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","90000","90000"
"5200000","GOIÁS (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","40727203,28","40727203,28"
"3524402","JACAREÍ","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2312304","SÃO BENEDITO","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"1700000","TOCANTINS (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","8752620","8752620"
"3301603","DUAS BARRAS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3205002","SERRA","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"2604601","CONDADO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","270000","270000"
"3543303","RIBEIRÃO PIRES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3139805","MAR DE ESPANHA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","180000","180000"
"3201506","COLATINA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"5200000","GOIÁS (ESTADO)","10 - SAÚDE","301 - ATENÇÃO BÁSICA","191927429,05","191927429,05"
"2300507","ALCÂNTARAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3156452","ROSÁRIO DA LIMEIRA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","28741272","28741272"
"3152907","PRATÁPOLIS","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"4105508","CIANORTE","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"4100000","PARANÁ (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","82926216,45","82926216,45"
"3549508","SÃO JOSÉ DA BELA VISTA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"1600000","AMAPÁ (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","7677879,91","7677879,91"
"NÃO INFORMADO","NÃO INFORMADO","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","837701150,64","837701150,64"
"NÃO INFORMADO","NÃO INFORMADO","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","0","0"
"2309300","NOVA RUSSAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2500000","PARAÍBA (ESTADO)","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","2282500","2282500"
"2701803","CARNEIROS","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","214500","214500"
"5007950","TACURU","17 - SANEAMENTO","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2924504","PINDAÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3303609","PARACAMBI","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"1600000","AMAPÁ (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","42913109,74","42913109,74"
"1300000","AMAZONAS (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","2324735","2324735"
"2704302","MACEIÓ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3503505","AREIAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","270000","270000"
"5005707","NAVIRAÍ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2704500","MARAGOGI","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","292500","292500"
"2803807","MALHADA DOS BOIS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"2202737","COIVARAS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2301901","BARBALHA","10 - SAÚDE","301 - ATENÇÃO BÁSICA","459000","459000"
"5000000","MATO GROSSO DO SUL (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","1608586","1608586"
"2307650","MARACANAÚ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3111903","CANA VERDE","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"3304508","RIO DAS FLORES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3500000","SÃO PAULO (ESTADO)","10 - SAÚDE","305 - VIGILÂNCIA EPIDEMIOLÓGICA","110248059","110248059"
"3300000","RIO DE JANEIRO (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","10971013","10971013"
