"Localidade (Cod)","Localidade","Função (Cod/Desc)","Subfunção (Cod/Desc)","Despesa Executada (Favorecido)","Despesa Executada (Subelemento)"
"9000000","NACIONAL","17 - SANEAMENTO","122 - ADMINISTRAÇÃO GERAL","879121,19","879121,19"
"1700000","TOCANTINS (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3300308","BARRA DO PIRAÍ","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","300000","300000"
"4106407","CORNÉLIO PROCÓPIO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","100000","100000"
"1505536","PARAUAPEBAS","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","220000","220000"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","303 - SUPORTE PROFILÁTICO E TERAPÊUTICO","40624522","40624522"
"4105508","CIANORTE","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","200000","200000"
"2910701","EUCLIDES DA CUNHA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2400000","RIO GRANDE DO NORTE (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"5205109","CATALÃO","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3525300","JAÚ","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","3150000","3150000"
"1200435","SANTA ROSA DO PURUS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"5221403","TRINDADE - GO","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","1500000","1500000"
"1303536","PRESIDENTE FIGUEIREDO","10 - SAÚDE","301 - ATENÇÃO BÁSICA","400000","400000"
"3162955","SÃO JOSÉ DA LAPA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3151404","PITANGUI","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"3519808","ICÉM","10 - SAÚDE","301 - ATENÇÃO BÁSICA","100000","100000"
"3305604","SILVA JARDIM","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","300000","300000"
"3553302","TAMBAÚ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","300000","300000"
"2708956","SENADOR RUI PALMEIRA","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","0","0"
"3100000","MINAS GERAIS (ESTADO)","16 - HABITAÇÃO","451 - INFRA-ESTRUTURA URBANA","610800","610800"
"4109401","GUARAPUAVA","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3519600","IBITINGA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","100000","100000"
"3304128","QUATIS","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4119152","PINHAIS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","350000","350000"
"3530706","MOGI GUAÇU","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"2925758","PRESIDENTE TANCREDO NEVES","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4216354","SÃO JOÃO DO ITAPERIÚ","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","200000","200000"
"3300100","ANGRA DOS REIS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","1000000","1000000"
"2801603","CEDRO DE SÃO JOÃO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3554805","TREMEMBÉ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3301876","IGUABA GRANDE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"3203304","MANTENÓPOLIS","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2924504","PINDAÍ","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4206405","GUARACIABA - SC","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3548807","SÃO CAETANO DO SUL","10 - SAÚDE","846 - OUTROS ENCARGOS ESPECIAIS","0","0"
"3301405","CONCEIÇÃO DE MACABU","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","300000","300000"
"3514007","DOBRADA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2504009","CAMPINA GRANDE","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"4120606","PRUDENTÓPOLIS","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2931350","TEIXEIRA DE FREITAS","16 - HABITAÇÃO","482 - HABITAÇÃO URBANA","0","0"
"1301803","IPIXUNA","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2400604","ALMINO AFONSO","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"2613305","SÃO JOAQUIM DO MONTE","10 - SAÚDE","511 - SANEAMENTO BÁSICO RURAL","0","0"
"4315602","RIO GRANDE","10 - SAÚDE","301 - ATENÇÃO BÁSICA","0","0"
"4102901","BITURUNA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","0","0"
"2500000","PARAÍBA (ESTADO)","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","461704062,42","461704062,42"
"1400000","RORAIMA (ESTADO)","10 - SAÚDE","301 - ATENÇÃO BÁSICA","24404000","24404000"
"2200000","PIAUÍ (ESTADO)","17 - SANEAMENTO","512 - SANEAMENTO BÁSICO URBANO","20883639","20883639"
"4300000","RIO GRANDE DO SUL (ESTADO)","10 - SAÚDE","304 - VIGILÂNCIA SANITÁRIA","9433377","9433377"
"5000000","MATO GROSSO DO SUL (ESTADO)","10 - SAÚDE","512 - SANEAMENTO BÁSICO URBANO","0","0"
"3161403","SÃO FRANCISCO DO GLÓRIA","10 - SAÚDE","302 - ASSISTÊNCIA HOSPITALAR E AMBULATORIAL","200000","200000"
"9000000","NACIONAL","10 - SAÚDE","183 - INFORMAÇÃO E INTELIGÊNCIA","67082293,15","67082293,15"
