"";"1995"
"1";"UF_ZI"
"2";"ANO_CMPT"
"3";"MES_CMPT"
"4";"ESPEC"
"5";"CGC_HOSP"
"6";"N_AIH"
"7";"IDENT"
"8";"CEP"
"9";"MUNIC_RES"
"10";"NASC"
"11";"SEXO"
"12";"UTI_TOTAL"
"13";"PROC_REA"
"14";"VAL_SH"
"15";"VAL_SP"
"16";"VAL_SADT"
"17";"VAL_RN"
"18";"VAL_ORTP"
"19";"VAL_SANGUE"
"20";"VAL_TOT"
"21";"US_SH"
"22";"US_SP"
"23";"US_SADT"
"24";"US_RN"
"25";"US_ORTP"
"26";"US_SANGUE"
"27";"US_TOT"
"28";"DT_INTER"
"29";"DT_SAIDA"
"30";"DIAG_PRINC"
"31";"COBRANCA"
"32";"NATUREZA"
"33";"MUNIC_MOV"
"34";"COD_IDADE"
"35";"IDADE"
"36";"DIAS_PERM"
"37";"MORTE"
"38";"COD_ARQ"
"39";"CONT"
"40";"NUM_PROC"
"41";"SEMIPLEN"
