"";"1997"
"1";"UF_ZI"
"2";"ANO_CMPT"
"3";"MES_CMPT"
"4";"ESPEC"
"5";"CGC_HOSP"
"6";"N_AIH"
"7";"IDENT"
"8";"CEP"
"9";"MUNIC_RES"
"10";"NASC"
"11";"SEXO"
"12";"UTI_TOTAL"
"13";"PROC_REA"
"14";"VAL_SH"
"15";"VAL_SP"
"16";"VAL_SADT"
"17";"VAL_RN"
"18";"VAL_ORTP"
"19";"VAL_SANGUE"
"20";"VAL_TOT"
"21";"US_SH"
"22";"US_SP"
"23";"US_SADT"
"24";"US_RN"
"25";"US_ORTP"
"26";"US_SANGUE"
"27";"US_TOT"
"28";"DT_INTER"
"29";"DT_SAIDA"
"30";"DIAG_PRINC"
"31";"DIAG_SEC"
"32";"COBRANCA"
"33";"NATUREZA"
"34";"SEMIPLEN"
"35";"MUNIC_MOV"
"36";"COD_IDADE"
"37";"IDADE"
"38";"DIAS_PERM"
"39";"MORTE"
"40";"COD_ARQ"
"41";"CONT"
"42";"NUM_PROC"
