"";"1999"
"1";"UF_ZI"
"2";"ANO_CMPT"
"3";"MES_CMPT"
"4";"ESPEC"
"5";"CGC_HOSP"
"6";"N_AIH"
"7";"IDENT"
"8";"CEP"
"9";"MUNIC_RES"
"10";"NASC"
"11";"SEXO"
"12";"UTI_MES_IN"
"13";"UTI_MES_AN"
"14";"UTI_MES_AL"
"15";"UTI_TOTAL"
"16";"MARCA_UTI"
"17";"PROC_REA"
"18";"VAL_SH"
"19";"VAL_SP"
"20";"VAL_SADT"
"21";"VAL_RN"
"22";"VAL_ORTP"
"23";"VAL_SANGUE"
"24";"VAL_SADTSR"
"25";"VAL_TRANSP"
"26";"VAL_TOT"
"27";"VAL_UTI"
"28";"US_TOT"
"29";"DT_INTER"
"30";"DT_SAIDA"
"31";"DIAG_PRINC"
"32";"DIAG_SECUN"
"33";"COBRANCA"
"34";"NATUREZA"
"35";"GESTAO"
"36";"MUNIC_MOV"
"37";"COD_IDADE"
"38";"IDADE"
"39";"DIAS_PERM"
"40";"MORTE"
"41";"COD_ARQ"
"42";"CONT"
"43";"NACIONAL"
"44";"NUM_PROC"
"45";"CAR_INT"
"46";"TOT_PT_SP"
"47";"NUM_FILHOS"
"48";"INSTRU"
"49";"CID_NOTIF"
"50";"CONTRACEP1"
"51";"CONTRACEP2"
"52";"GESTRISCO"
