"";"1998"
"1";"UF_ZI"
"2";"ANO_CMPT"
"3";"MES_CMPT"
"4";"ESPEC"
"5";"CGC_HOSP"
"6";"N_AIH"
"7";"IDENT"
"8";"CEP"
"9";"MUNIC_RES"
"10";"NASC"
"11";"SEXO"
"12";"UTI_TOTAL"
"13";"PROC_REA"
"14";"VAL_SH"
"15";"VAL_SP"
"16";"VAL_SADT"
"17";"VAL_RN"
"18";"VAL_ORTP"
"19";"VAL_SANGUE"
"20";"VAL_SADTSR"
"21";"VAL_TRANSP"
"22";"VAL_TOT"
"23";"US_TOT"
"24";"DT_INTER"
"25";"DT_SAIDA"
"26";"DIAG_PRINC"
"27";"DIAG_SECUN"
"28";"COBRANCA"
"29";"NATUREZA"
"30";"GESTAO"
"31";"MUNIC_MOV"
"32";"COD_IDADE"
"33";"IDADE"
"34";"DIAS_PERM"
"35";"MORTE"
"36";"COD_ARQ"
"37";"CONT"
"38";"NACIONAL"
"39";"NUM_PROC"
"40";"MARCA_UTI"
"41";"CAR_INT"
